OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
913825,04092010162,Circus Family Restaurant,1600 Wake Forest Rd ,,RALEIGH,NC,27604-1333,(919) 834-2213,1991/04/25 00:00:00+00,Restaurant,4650,-78.62468351,35.80050101,M
913826,04092011862,Zebulon BP Grill,603 W GANNON AVE,,ZEBULON,NC,27597-2511,(919) 231-1119,1996/04/25 00:00:00+00,Restaurant,4662,-78.32832184,35.81991083,M
913827,04092010617,Rex Hospital Cafeteria,4420 LAKE BOONE TRL,,RALEIGH,NC,27607-6599,(919) 784-4173,1991/05/13 00:00:00+00,Restaurant,4671,-78.70242018,35.81817246,M
913828,04092013049,PNC 112 (Mexican),1400 EDWARDS MILL RD ,,RALEIGH,NC,27607-3624,(919) 861-2300 ext. 5,1999/10/28 00:00:00+00,Restaurant,4680,-78.7229363,35.8032419,M
913829,04092017616,BAD DADDY'S BURGER BAR,9402-103 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(984) 233-5880,2017/05/12 00:00:00+00,Restaurant,4423,-78.60429327,35.90247841,M
913830,04092011774,THE ROCKFORD,320-1/2 GLENWOOD AVE ,,RALEIGH,NC,27603,(919) 821-9020,1995/11/03 00:00:00+00,Restaurant,4696,0,0,U
913831,04092018417,First Watch,304 GRAND HILL PL,,HOLLY SPRINGS,NC,27540-4490,,2020/08/12 00:00:00+00,Restaurant,4710,-78.8436742,35.66711942,M
913832,04092017663,CHIOS ROTISSERIE,2656 TIMBER DR ,,GARNER,NC,27529,(919) 773-1016,2017/08/07 00:00:00+00,Restaurant,4711,-78.63679241,35.71604965,M
913833,04092017659,SANDELLA'S,15 E PEACE ST ,,RALEIGH,NC,27604,(336) 613-8276,2017/08/17 00:00:00+00,Restaurant,4712,-78.63745249,35.78928549,M
913834,04092016624,WAFFLE HOUSE #2051,2237 AVENT FERRY RD ,#105,RALEIGH,NC,27607,(919) 856-4789,2014/02/20 00:00:00+00,Restaurant,4713,-78.67605091,35.77835817,M
913835,04092015712,SAN JOSE MEXICAN RESTAURANT,877 E GANNON AVE ,,ZEBULON,NC,27616,(919) 269-3399,2010/09/15 00:00:00+00,Restaurant,4714,-78.29418521,35.83015828,M
913836,04092011678,McDonald's #14961,4413 Capital BLVD ,,RALEIGH,NC,27604-4314,(919) 878-0155,1995/04/22 00:00:00+00,Restaurant,4725,-78.58053149,35.84413369,M
913837,04092013504,Serendipity Gourmet Deli,118 S ACADEMY ST,,CARY,NC,27511-3302,(919) 469-1655,2002/01/24 00:00:00+00,Restaurant,4727,-78.78150853,35.78674767,M
913838,04092013618,Subway #4331,9101 LEESVILLE RD ,,RALEIGH,NC,27613-4091,(919) 847-3559,2002/06/12 00:00:00+00,Restaurant,4734,-78.72548207,35.8967595,M
913839,04092016150,DAIRY QUEEN ORANGE JULIUS,8321 BRIER CREEK PKY ,STE 101,RALEIGH,NC,27617,(919) 484-2230,2012/05/04 00:00:00+00,Restaurant,4746,-78.78334742,35.90685073,M
913840,04092300251,HARRIS TEETER #353 MEAT & SEAFOOD,13686 CAPITAL  BLVD ,,WAKE FOREST,NC,27587,(919) 554-3608,2011/02/04 00:00:00+00,Meat Market,4748,-78.51867461,36.00548951,M
913841,04092030388,The Spiedie Turtle (WCID #677),2161 S Wilmington ST ,,RALEIGH,NC,27603,(206) 200-9267,2019/01/22 00:00:00+00,Mobile Food Units,4752,-78.64171063,35.75324624,M
913842,04092015577,AMEDEO'S,3905 WESTERN  BLVD ,,RALEIGH,NC,27606,,2010/03/04 00:00:00+00,Restaurant,4770,-78.69045749,35.78405439,M
913843,04092017729,Whole Foods Market #10611 Produce,5055 Arco ST ,,CARY,NC,27519,(984) 228-0300,2017/11/03 00:00:00+00,Restaurant,4771,-78.88191924,35.83347908,M
913844,04092017614,STELLINO'S,1150 PARKSIDE MAIN ST ,,CARY,NC,27519,(919) 694-5761,2017/05/09 00:00:00+00,Restaurant,4772,-78.88929435,35.84836238,M
913845,04092010302,GOODBERRY'S #6,2421 Spring Forest Rd,,RALEIGH,NC,27615-7540,(919) 878-8159,1991/05/02 00:00:00+00,Restaurant,4778,-78.59868826,35.8608486,M
913846,04092011929,Las Margaritas,111 S WHITE ST,,WAKE FOREST,NC,27587-2739,(919) 556-8319,1996/09/13 00:00:00+00,Restaurant,4790,-78.50924596,35.9788861,M
913847,04092110476,RIVER BEND ELEMENTARY CAFETERIA,6710 PERRY CREEK RD ,,RALEIGH,NC,27616,(919) 431-8010 ext. 25509,2008/12/03 00:00:00+00,Public School Lunchrooms,4802,-78.53592651,35.86465714,M
913848,04092021847,FOOD LION #2199 PRODUCE,12345 STRICKLAND RD ,,RALEIGH,NC,27613,(919) 846-3589,2015/04/29 00:00:00+00,Food Stand,4808,-78.7027985,35.90556189,M
913849,04092020237,Snoopy's # 1,1931 Wake Forest Rd,,RALEIGH,NC,27608-2731,(919) 833-0992,1991/04/29 00:00:00+00,Food Stand,4840,-78.6250208,35.8072596,M
913850,04092010095,Bull And Bear,5442 SIX FORKS RD ,,RALEIGH,NC,27609-4436,(919) 847-3617,1991/05/02 00:00:00+00,Restaurant,4845,-78.64059702,35.85499105,M
913851,04092016935,TACO BELL #30930,1125 US HIGHWAY 70 W ,,GARNER,NC,27529,(919) 803-4328,2015/05/21 00:00:00+00,Restaurant,4769,0,0,U
913852,04092030445,The Pounded Pig (WCID #742),2161 S WILMINGTON ST ,,RALEIGH,NC,27603-2559,(860) 604-2181,2019/10/14 00:00:00+00,Mobile Food Units,4864,-78.64171063,35.75324624,M
913853,04092011783,Taco Bell #3421,1120 KILDAIRE FARM RD,,CARY,NC,27511-4523,(919) 481-0850,1995/12/04 00:00:00+00,Restaurant,4876,-78.78221308,35.76974275,M
913854,04092015521,NOODLES & COMPANY,200 CROSSROADS  BLVD ,STE 110,CARY,NC,27518,(919) 851-5080,2009/11/02 00:00:00+00,Restaurant,4916,-78.74109738,35.76025037,M
913855,04092017796,Osteria G,5160 Sunset Lake RD ,,HOLLY SPRINGS,NC,27539,(984) 229-7480,2018/02/16 00:00:00+00,Restaurant,4869,-78.79910505,35.66774596,M
913856,04092030333,DON BELL'S GRILL HOUSE (WCID # 606),4820 LANDOVER ARBOR PL ,,RALEIGH,NC,27616,(919) 266-4858,2017/06/05 00:00:00+00,Mobile Food Units,4970,-78.52358738,35.85256827,M
913857,04092018047,J & S NEW YORK,2025 RENNAISANCE PARK PL ,,CARY,NC,27513,,2019/02/04 00:00:00+00,Restaurant,5000,-78.77209428,35.82791688,M
913858,04092021846,FOOD LION #586 PRODUCE,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-6202,2015/04/24 00:00:00+00,Food Stand,5001,-78.57953261,35.76724571,M
913859,04092300166,Food Lion #572 Meat Market ,8320-120 LITCHFORD RD ,,RALEIGH,NC,27615-2464,(919) 790-8146,2000/07/01 00:00:00+00,Meat Market,4974,-78.60100965,35.89311432,M
913860,04092020974,Food Lion #247 Deli,4510 Capital Blv ,,RALEIGH,NC,27604-4353,(919) 876-8126,2000/07/01 00:00:00+00,Food Stand,5019,-78.57896604,35.84571366,M
913861,04092020980,Food Lion #1669 Deli ,1601 CROSS LINK RD,,RALEIGH,NC,27610-4186,(919) 633-8250,2000/03/15 00:00:00+00,Food Stand,5020,-78.61481761,35.75482136,M
913862,04092021984,SPEEDY BURRITOS,5959-1100 TRIANGLE TOWN BLVD ,,RALEIGH,NC,27616,(919) 792-2923,2016/10/05 00:00:00+00,Food Stand,4997,-78.57159163,35.86546307,M
913863,04092016936,BURGER 21,14220 BRADFORD GREEN SQUARE ,,CARY,NC,27519,(919) 462-0900,2015/06/01 00:00:00+00,Restaurant,5022,-78.84558396,35.79325638,M
913864,04092021055,Food Lion #193 Deli,5633 CREEDMOOR RD,,RALEIGH,NC,27612-6316,(919) 781-0597,2001/02/26 00:00:00+00,Food Stand,5034,-78.68200551,35.85879117,M
913865,04092020977,Food Lion #757 Deli,1100-122 Raleigh BLVD ,,RALEIGH,NC,27610-1076,(919) 829-7077,2000/07/01 00:00:00+00,Food Stand,5021,-78.61277558,35.79430477,M
913866,04092021059,Harris Teeter #90 Meat Market,13210 STRICKLAND RD ,,RALEIGH,NC,27613-7536,(919) 676-3534,2001/03/15 00:00:00+00,Food Stand,5036,-78.72593809,35.90878313,M
913867,04092300219,Food Lion #75 Meat Market,1339 5th AVE ,,GARNER,NC,27529,(919) 779-0770,2003/09/18 00:00:00+00,Meat Market,5057,-78.62278736,35.70820906,M
913868,04092013899,Little Caesars,1320 N Main ST ,,FUQUAY VARINA,NC,27526,(919) 552-8688,2003/09/10 00:00:00+00,Restaurant,5058,-78.77764359,35.59047244,M
913869,04092300192,Food Lion #536 Meat Market ,9101 - 107 Leesville Rd,,RALEIGH,NC,27613,,2001/01/01 00:00:00+00,Meat Market,5035,0,0,U
913870,04092013906,Chick-Fil-A #01488,220 Shenstone Blv ,,GARNER,NC,27529,(919) 329-0275,2003/09/26 00:00:00+00,Restaurant,5059,-78.58261702,35.69212111,M
913871,04092015059,Jimmy John's #895,8204 Tryon Woods  DR ,Ste 118,RALEIGH,NC,27518,(919) 859-7377,2008/02/20 00:00:00+00,Restaurant,5046,-78.74169613,35.74700826,M
913872,04092017445,METRO DINER #3002,6325-73 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 578-9053,2016/09/30 00:00:00+00,Restaurant,5050,-78.62102418,35.86869281,M
913873,04092013857,KFC/Taco Bell Of Zebulon,161 Wakelon Dr,,ZEBULON,NC,27597,(919) 404-1701,2003/07/18 00:00:00+00,Restaurant,5055,-78.31620174,35.83320735,M
913874,04092013971,Mac's Tavern,1014 Ryan Rd,,CARY,NC,27511,(919) 467-4114,2004/01/09 00:00:00+00,Restaurant,5101,-78.76677132,35.77674815,M
913875,04092013994,Beansprout Chinese Restaurant,3721 Hillsborough St ,,RALEIGH,NC,27607,(919) 755-0554,2004/02/23 00:00:00+00,Restaurant,5103,-78.68759244,35.79393832,M
913876,04092050025,North Raleigh Christian Academy School Lunchroom,7300 Perry Creek Rd,,RALEIGH,NC,27616,(919) 573-7900,2004/03/11 00:00:00+00,Private School Lunchrooms,5104,-78.54259351,35.88061452,M
913877,04092300094,Harris Teeter #21 Meat Market,500 OBERLIN RD ,,RALEIGH,NC,27605-1327,(919) 828-9216,1994/11/01 00:00:00+00,Meat Market,5116,-78.66105804,35.79149603,M
913878,04092030473,Cousin's Maine Lobster #3 (WCID #762),3209 GRESHAM LAKE RD,Suite 119,RALEIGH,NC,27615-3757,(919) 559-2673,2020/03/31 00:00:00+00,Mobile Food Units,5128,-78.58044821,35.88538074,M
913879,04092021906,FOOD LION #1484 PRODUCE,2420 WYCLIFF RD ,,RALEIGH,NC,27607,(919) 571-3638,2015/10/29 00:00:00+00,Food Stand,5130,-78.692995,35.81676997,M
913880,04092021904,Food Lion #1454 Produce,3415 AVENT FERRY RD ,,RALEIGH,NC,27607,(919) 858-9772,2015/10/28 00:00:00+00,Food Stand,5131,-78.69720844,35.76626617,M
913881,04092011937,Roma's Italian,203 N HARRISON AVE ,,CARY,NC,27513-4558,(919) 468-1111,1996/10/04 00:00:00+00,Restaurant,5138,-78.78390114,35.78817167,M
913882,04092018154,Wegmans #108,1200 WAKE TOWNE DR,,RALEIGH,NC,27609,(984) 960-5600,2019/08/23 00:00:00+00,Restaurant,5146,-78.62082753,35.82131925,M
913883,04092017944,Chipotle #3212,11700 Retail DR ,,WAKE FOREST,NC,27587,(919) 562-0004,2018/08/22 00:00:00+00,Restaurant,5148,-78.5434927,35.96629568,M
913884,04092030317,MOONRUNNERS SALOON (WCID #577),7237 BLANEY BLUFFS LN ,,RALEIGH,NC,27606,(919) 662-5119,2016/11/15 00:00:00+00,Mobile Food Units,5150,-78.71942174,35.69622461,M
913885,04092021912,FOOD LION #1079 PRODUCE,5621 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 981-0402,2015/11/18 00:00:00+00,Food Stand,5152,-78.55796888,35.85459972,M
913886,04092013091,Burger King #12979,3101 INTEGRITY DR ,,GARNER,NC,27529-8599,(919) 661-7718,2000/01/21 00:00:00+00,Restaurant,5162,-78.58225808,35.72489369,M
913887,04092013122,McDonald's #14342,3026 Capital BLVD ,,RALEIGH,NC,27604-3334,(919) 878-0701,2000/03/11 00:00:00+00,Restaurant,5166,-78.59113149,35.82041654,M
913888,04092020957,LeCount's Catering,1500 NEW BERN AVE ,,RALEIGH,NC,27610-2536,(919) 538-8474,2000/07/11 00:00:00+00,Food Stand,5169,-78.6168801,35.7796919,M
913889,04092016059,PORT CITY JAVA PARK SHOPS,101 CURRENT DR ,,RALEIGH,NC,27695,(919) 515-0238,2011/12/08 00:00:00+00,Restaurant,5180,-78.67872874,35.78448278,M
913890,04092014098,Assagios Pizzeria Ristorante,7417 SUNSET LAKE RD ,,FUQUAY VARINA,NC,27526,(919) 557-9505,2004/07/19 00:00:00+00,Restaurant,5184,-78.77604319,35.59548799,M
913891,04092012179,Chick-fil-A #00678,2720 TIMBER DR ,,GARNER,NC,27529-2591,(919) 661-2448,1998/01/07 00:00:00+00,Restaurant,5191,-78.63762972,35.71712692,M
913892,04092020961,Food Lion #1484 Deli ,2420 WYCLIFF RD ,,RALEIGH,NC,27607-2903,(919) 571-3638,2000/07/01 00:00:00+00,Food Stand,5204,-78.692995,35.81676997,M
913893,04092020982,Food Lion #815 Deli ,2837 WENDELL Blv ,,WENDELL,NC,27591-6904,(919) 365-3002,2000/07/01 00:00:00+00,Food Stand,5205,-78.38037181,35.79568777,M
913894,04092017726,Whole Foods Market #10611 Meat/Seafood,5055 Arco ST ,,CARY,NC,27519,(984) 228-0300,2017/11/03 00:00:00+00,Restaurant,5206,-78.88191924,35.83347908,M
913895,04092016686,ALPACA PERUVIAN CHARCOAL CHICKEN,9575 CHAPEL HILL  RD ,,MORRISVILLE,NC,27560,(919) 378-9259,2014/04/28 00:00:00+00,Restaurant,5207,-78.81120699,35.8045716,M
913896,04092013239,Global Village Organic Coffee,2428 HILLSBOROUGH ST ,,RALEIGH,NC,27607-7248,(919) 828-4567,2000/11/22 00:00:00+00,Restaurant,5208,-78.66770199,35.78790613,M
913897,04092012056,Torero's Mexican Restaurant V,1207-C Kildaire Farm Rd ,,CARY,NC,27511,(919) 468-8711,1997/06/03 00:00:00+00,Restaurant,5077,-78.7834338,35.76424145,M
913898,04092017229,CAFE SAGE @HOLIDAY INN CARY,5630 DILLARD DR ,,CARY,NC,27518,(919) 851-1220,2016/05/26 00:00:00+00,Restaurant,5230,-78.73628587,35.75553675,M
913899,04092017810,Cafe Capistrano,"8471   Garvey  St, Ste 113",,RALEIGH,NC,27616,(919) 872-1127,2018/03/23 00:00:00+00,Restaurant,5226,-78.56786149,35.89607573,M
913900,04092013561,Cruizers #19,1205 NE MAYNARD RD,,CARY,NC,27513-4175,(919) 466-0308,2002/04/17 00:00:00+00,Restaurant,5249,-78.76291117,35.79469038,M
913901,04092017091,JERSEY MIKE'S SUBS #3150,3608-100 DAVIS DR ,,MORRISVILLE,NC,27560,(919) 380-0289,2015/11/13 00:00:00+00,Restaurant,5227,-78.84819864,35.82256111,M
913902,04092012279,KANKI JAPANESE HOUSE OF STEAKS AND SUSHI,4325 Glenwood Ave ,,RALEIGH,NC,27612,(919) 782-9708,1998/07/30 00:00:00+00,Restaurant,5255,-78.68184484,35.84183815,T
913903,04092025281,Harris Teeter #494 Meat/Seafood,1273 NW MAYNARD RD,,CARY,NC,27513,,2019/08/26 00:00:00+00,Food Stand,5261,-78.81193845,35.78534681,M
913904,04092030448,NC Burger (WCID #731),10125 DIVISION DR,,RALEIGH,NC,27603-5664,(919) 614-0959,2019/11/05 00:00:00+00,Mobile Food Units,5264,-78.7114342,35.63398295,M
913905,04092016833,SUBWAY #3151,311 CROSSROADS BLVD ,,CARY,NC,27518,(919) 851-9594,2014/12/31 00:00:00+00,Restaurant,5265,-78.73871452,35.76064286,M
913906,04092020943,Whole Foods Market Seafood Shop,102 B New Waverly Place ,,CARY,NC,27511,(919) 816-8830,2000/05/09 00:00:00+00,Food Stand,5273,0,0,U
913907,04092020944,Whole Foods Market Produce Shop,102 B New Waverly Place ,,CARY,NC,27511,(919) 816-8830,2000/05/09 00:00:00+00,Food Stand,5274,0,0,U
913908,04092020969,Food Lion #40 Deli ,980 KILDAIRE FARM RD ,,CARY,NC,27511-3923,(919) 467-4168,2000/07/01 00:00:00+00,Food Stand,5277,-78.78312573,35.77217563,M
913909,04092011394,McDonald's # 13334,6213 FALLS OF NEUSE RD ,,RALEIGH,NC,27609-3505,(919) 878-0085,1993/11/29 00:00:00+00,Restaurant,5282,-78.62123228,35.8674499,M
913910,04092011309,Goodberry's Creamery,1407 Garner Station Blv,,RALEIGH,NC,27603,(919) 772-0205,1993/06/22 00:00:00+00,Restaurant,5280,-78.65163223,35.72484349,M
913911,04092016117,JASMIN BISTRO,3801 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 835-1626,2012/02/29 00:00:00+00,Restaurant,5288,-78.68856288,35.79387274,M
913912,04092110526,Vandora Springs Elementary School Cafeteria,1300 Vandora Springs RD ,,GARNER,NC,27529,,2018/07/23 00:00:00+00,Public School Lunchrooms,5293,-78.62840113,35.699067,M
913913,04092015519,GOLDEN CHINA CHINESE RESTAURANT,2432 SW CARY PKY ,,CARY,NC,27513,(919) 380-7891,2009/11/24 00:00:00+00,Restaurant,5296,-78.82085718,35.76363975,M
913914,04092030158,FOODLAND MOBILE FOOD UNIT ( WCID # 170 ),11 JONES ST ,,RALEIGH,NC,27602,(919) 798-0590,2005/10/25 00:00:00+00,Mobile Food Units,5295,0,0,U
913915,04092021962,PUBLIX #1520 PRODUCE,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 00:00:00+00,Food Stand,5298,-78.79652253,35.70711378,M
913916,04092021477,Lowes Foods #226 Deli,8440 louisburg rd,,RALEIGH,NC,27616,(919) 266-1031,2007/09/14 00:00:00+00,Food Stand,5303,-78.50930992,35.89359383,M
913917,04092015891,AVIATOR SMOKEHOUSE,525 Broad  ST ,,FUQUAY VARINA ,NC,27526,(919) 567-2337,2011/02/18 00:00:00+00,Restaurant,5301,-78.79375457,35.59301324,M
913918,04092012212,Starbucks #8270,7498 CREEDMOOR RD ,,RALEIGH,NC,27613-1664,(919) 846-0633,1998/03/25 00:00:00+00,Restaurant,5311,-78.67820041,35.88787167,M
913919,04092016818,LOCKED & LOADED GRILL,305 MCCORMICK STREET,,GARNER,NC,27529,(919) 661-6688,2014/11/14 00:00:00+00,Restaurant,5335,-78.64232111,35.72321181,M
913920,04092012067,Kabuki Japanese Steak House,220 Nottingham Dr,,CARY,NC,27511,(919) 380-8081,1997/06/26 00:00:00+00,Restaurant,5304,-78.74177928,35.76778433,M
913921,04092016815,TUPELO HONEY CAFE,425 OBERLIN ROAD,,RALEIGH,NC,27605,(919) 723-9353,2014/11/24 00:00:00+00,Restaurant,5336,-78.6638284,35.7899475,M
913922,04092030482,Biscuit Haven (WCID #771),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 539-6022,2020/06/15 00:00:00+00,Mobile Food Units,5338,-78.63902655,35.752054,M
913923,04092016431,KAI SUSHI & SAKE BAR,7713 LEADMINE  RD ,STE 11,RALEIGH,NC,27615,(919) 870-4923,2013/05/15 00:00:00+00,Restaurant,5339,-78.66044244,35.88617531,T
913924,04092014667,Tangerine Cafe,2422 SW CaryPKWY,,CARY,NC,27513,(919) 468-8688,2006/08/21 00:00:00+00,Restaurant,5345,0,0,U
913925,04092021132,Whole Foods Market Produce Department,3540 WADE AVE ,,RALEIGH,NC,27607-4048,(919) 828-5805,2002/07/23 00:00:00+00,Food Stand,5353,-78.68558086,35.80212022,M
913926,04092025255,Harris Teeter Meat/Seafood #498,1371 E Broad ST ,,FUQUAY-VARINA,NC,27526,(919) 567-7423,2019/04/18 00:00:00+00,Food Stand,5358,-78.77604319,35.59548799,M
913927,04092300288,Cary African and Caribbean Market,1435 SE Maynard ST ,,CARY,NC,27511,(919) 462-3500,2019/04/05 00:00:00+00,Meat Market,5359,-78.76384442,35.79193542,M
913928,04092015201,Tony's Pizza,8111 ROWLOCK  WAY ,SUITE C-1,RALEIGH,NC,27613,(919) 571-3588,2008/08/21 00:00:00+00,Restaurant,5362,-78.73779147,35.88567278,M
913929,04092030411,Gym Tacos (WCID #699),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 600-8708,2019/04/18 00:00:00+00,Mobile Food Units,5360,-78.64171063,35.75324624,M
913930,04092010037,Aubrey & Peedi's Grill,38 N Main ST ,,WENDELL,NC,27591,(919) 365-5528,1991/04/25 00:00:00+00,Restaurant,5385,-78.36945172,35.78246153,M
913931,04092110101,Hodge Road Elementary Cafeteria,2128 Mingo Bluff Blvd,,KNIGHTDALE,NC,27545,(919) 266-8599 ext. 21541,1995/09/12 00:00:00+00,Public School Lunchrooms,5389,-78.52263224,35.77684379,M
913932,04092011771,Barnes And Noble,760 SE Maynard Road ,,CARY,NC,27511,(919) 467-3866,1995/11/20 00:00:00+00,Restaurant,5391,-78.76212909,35.76995678,M
913933,04092017717,Panera Bread #1643,1100 Village Market PL ,,Morrisville,NC,27560,,2017/10/24 00:00:00+00,Restaurant,5399,-78.81334286,35.80607737,M
913934,04092020391,Quality Mart #31,4709 BERYL RD ,,RALEIGH,NC,27606-1405,(919) 821-4940,1991/10/07 00:00:00+00,Food Stand,5408,-78.70539355,35.79376905,M
913935,04092110055,Carnage Middle Cafeteria,1425 CARNAGE DR,,RALEIGH,NC,27610-3909,(919) 856-7600 ext. 22107,1991/10/16 00:00:00+00,Public School Lunchrooms,5409,-78.62726484,35.76198785,M
913936,04092021004,Food Lion #938 Deli ,517 N MAIN ST ,,HOLLY SPRINGS,NC,27540-9397,(919) 557-1175,2000/07/01 00:00:00+00,Food Stand,5441,-78.83687096,35.65966057,M
913937,04092020999,Food Lion #1496 Deli ,1777 W Williams ST ,,APEX,NC,27502,(919) 392-1986,2000/12/31 00:00:00+00,Food Stand,5442,-78.87770701,35.75964934,M
913938,04092160013,Hillside Nursing Center Foodservice,968 E Wait Ave,,WAKE FOREST,NC,27587,(919) 556-4082,2003/06/06 00:00:00+00,Institutional Food Service,5423,-78.49433678,35.97211932,M
913939,04092014720,Chili's Grill and Bar #1183,6605 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 261-0167,2006/10/27 00:00:00+00,Restaurant,5451,-78.50846405,35.79679257,M
913940,04092021411,Costco Wholesale #645 Rotiserrie/Deli,2838 Wake Forest RD ,,RALEIGH,NC,27609,(919) 755-2816,2006/10/24 00:00:00+00,Food Stand,5453,-78.62231539,35.81825512,M
913941,04092014651,Inchin's Bamboo Garden,3532 Davis DR,,MORRISVILLE,NC,27560,(919) 457-6705,2006/07/19 00:00:00+00,Restaurant,5458,-78.84576194,35.81812076,M
913942,04092015578,CANTINA 18,433  DANIELS  ST ,,RALEIGH,NC,27605,(919) 835-9911,2010/03/04 00:00:00+00,Restaurant,5459,-78.66157335,35.79001079,M
913943,04092017049,DON JULIO MEXICAN RESTAURANT,12516-104 CAPITAL BLVD ,,WAKE FOREST,NC,27587,(984) 235-1537,2015/10/08 00:00:00+00,Restaurant,5455,-78.53454582,35.98680854,M
913944,04092016133,HIBACHI CHINA BUFFET,2909  E MILLBROOK RD ,,RALEIGH,NC,27604,(919) 878-5688,2012/03/16 00:00:00+00,Restaurant,5463,-78.58213563,35.85057911,M
913945,04092025150,Harris Teeter #367 Starbucks,14520 John Rex BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2017/10/24 00:00:00+00,Food Stand,5465,-78.54281974,35.94700335,M
913946,04092016933,BIRYANI XPRX,748-A E CHATHAM ST ,,CARY,NC,27511,(919) 377-1801,2015/05/26 00:00:00+00,Restaurant,5460,-78.76503719,35.79184391,M
913947,04092300168,Food Lion #1589 Meat Market ,3417 N MAIN ST,,FUQUAY VARINA,NC,27526-7257,(919) 557-0555,2000/07/01 00:00:00+00,Meat Market,5473,-78.72584265,35.62514941,M
913948,04092014665,Zaxby's Restaurant,4150 FAYETTEVILLE RD,,RALEIGH,NC,27603-3606,(919) 661-7772,2006/08/22 00:00:00+00,Restaurant,5485,-78.65280432,35.72361266,M
913949,04092016583,THE CORNER TAVERN & GRILL,1301 NW MAYNARD  RD ,,CARY,NC,27513,(919) 460-0088,2013/12/19 00:00:00+00,Restaurant,5486,-78.81098892,35.78581105,M
913950,04092010625,Romas Pizzeria,3805 Brentwood Rd,,RALEIGH,NC,27604-1723,(919) 876-2818,1991/05/08 00:00:00+00,Restaurant,5506,-78.60062749,35.83624718,M
913951,04092013811,Moe's Southwest Grill #150,506 Daniels St,,RALEIGH,NC,27605,(919) 664-6637,2003/06/16 00:00:00+00,Restaurant,5513,-78.66105804,35.79149603,M
913952,04092013831,Cruizers 28,7220 Six Forks Rd ,,RALEIGH,NC,27615,(919) 847-2606,2003/07/09 00:00:00+00,Restaurant,5517,-78.64508835,35.87865432,M
913953,04092013835,Starbucks Coffee #8545,125 Weston Pky,,CARY,NC,27513,(919) 677-6104,2003/07/10 00:00:00+00,Restaurant,5518,-78.77115656,35.82699882,M
913954,04092021402,Harris Teeter #283 Deli ,8101 Fayetteville RD ,,FUQUAY VARINA,NC,27603,(919) 772-0241,2006/08/16 00:00:00+00,Food Stand,5488,-78.70134774,35.66356114,M
913955,04092013210,Salsa Fresh Restaurant,9650 STRICKLAND RD ,,RALEIGH,NC,27615-1902,(919) 870-1107,2000/09/25 00:00:00+00,Restaurant,5542,-78.65677159,35.90420107,T
913956,04092300163,Food Lion #1573 Meat Market,3926 WESTERN BLVD ,,RALEIGH,NC,27606-1937,(919) 664-8059,2000/07/01 00:00:00+00,Meat Market,5543,-78.69252351,35.78576143,M
913957,04092015967,CHARLIE'S KABOBS #2,929 HERITAGE LAKE  RD ,SUITE 700,WAKE FOREST,NC,27587,(919) 453-6284,2011/05/24 00:00:00+00,Restaurant,5581,-78.50377701,35.94688449,M
913958,04092011048,NY Pizza,1831 N HARRISON AVE ,,CARY,NC,27513-2408,(919) 677-8484,1992/05/01 00:00:00+00,Restaurant,5528,-78.7680818,35.82997763,M
913959,04092021401,Harris Teeter #283 Meat/Seafood,8101 Fayetteville RD ,,FUQUAY VARINA ,NC,27603,(919) 772-0241,2006/08/16 00:00:00+00,Food Stand,5587,-78.70134774,35.66356114,M
913960,04092020400,Capital Creations Pizza,1842 Wake Forest Rd ,,RALEIGH,NC,27606,(919) 836-8000,1992/02/19 00:00:00+00,Food Stand,5621,-78.62435652,35.80561704,M
913961,04092011070,OUTBACK STEAKHOUSE #3440,7500 CREEDMOOR RD ,,RALEIGH,NC,27613-1641,(919) 846-3848,1992/08/10 00:00:00+00,Restaurant,5625,-78.67924027,35.88823629,M
913962,04092110031,Hunter Elementary Cafeteria,1018 E DAVIE ST,,RALEIGH,NC,27601-1624,(919) 856-7676 ext. 21036,1991/10/16 00:00:00+00,Public School Lunchrooms,5637,-78.62330913,35.77426448,M
913963,04092013878,El Senor,2001 Widewater Pky ,,KNIGHTDALE,NC,27545,(919) 261-0808,2003/08/19 00:00:00+00,Restaurant,5643,-78.50515596,35.79511678,T
913964,04092013910,Devils Ridge Golf Club,5107 Linksland Dr ,,HOLLY SPRINGS,NC,27540,(919) 557-6100,2003/10/10 00:00:00+00,Restaurant,5646,-78.80138378,35.65562891,M
913965,04092012110,Jersey Mikes,4121 - 101 NEW BERN AVE,,RALEIGH,NC,27610-1379,(919) 231-0070,1997/03/20 00:00:00+00,Restaurant,5599,0,0,U
